redox_conc_id	refolding_id	redox_concentration
1	400	0.1mM
2	401	n/a
3	402	0.1mM
4	403	n/a
5	404	0.1mM
6	405	0.1mM
7	406	0.1mM
8	407	0.1mM
9	408	0.1mM
10	409	0.1mM
11	410	0.1mM
12	411	0.1mM
13	412	0.1mM
14	413	0.1mM
15	414	0.1mM
16	415	0.1mM
17	416	0.1mM
18	417	6/0.6mM
19	418	6/0.6mM
20	419	6/0.6mM
21	420	n/a
22	421	0.1mM
23	422	0.1mM
24	423	0.1mM
25	424	0.1mM
26	425	0.1mM
27	426	0.1mM
28	427	0.1mM
29	428	0.1mM
30	429	0.1mM
31	430	0.1mM
32	431	0.1mM
33	432	0.1mM
34	433	0.1mM
35	434	0.1mM
36	435	6/0.6mM
37	436	6/0.6mM
38	437	6/0.6mM
39	438	6/0.6mM
40	439	6/0.6mM
41	440	6/0.6mM
42	441	n/a
43	442	n/a
44	443	n/a
45	444	n/a
46	445	n/a
47	446	5mM/0.5mM
48	447	5mM/0.5mM
49	448	20
50	449	20
51	450	n/a
52	451	5 mM
53	452	1.5 mM
54	453	5 mM
55	454	5 mM
56	455	1.5 mM
57	456	1.5 mM
58	457	20
59	458	20
60	459	20
61	460	20
62	461	20
63	462	20
64	463	20
65	464	20
66	465	1 mM
67	466	1 mM
68	467	1 mM
69	468	n/a
71	470	n/a
72	471	n/a
73	472	n/a
74	473	n/a
75	474	n/a
77	476	n/a
78	477	n/a
79	478	10 mM
80	479	10 mM
81	480	n/a
82	481	0.2mM
83	482	n/a
84	483	n/a
85	484	3mM
86	485	3mM
87	486	3mM
88	487	30 mM
89	488	n/a
90	489	30 mM
91	490	n/a
92	491	375microM
93	492	n/a
94	493	n/a
95	494	n/a
96	495	4.0/0.4mM
97	496	4.0/0.4mM
98	497	10microM
99	498	10microM
100	499	n/a
101	500	n/a
102	501	0.2
103	502	0.2
104	503	n/a
105	504	5%
106	505	1 mM
107	506	1 mM
108	507	1 mM
109	508	n/a
110	509	n/a
111	510	n/a
112	511	n/a
113	512	n/a
114	513	n/a
115	514	n/a
116	515	n/a
117	516	n/a
118	517	n/a
119	518	n/a
120	519	n/a
121	520	1 mM
122	521	0.1mM
123	522	1mM
124	523	n/a
125	524	n/a
126	525	n/a
127	526	n/a
128	527	n/a
129	528	n/a
130	529	0.1 mM
131	530	0.1 mM
132	531	n/a
133	532	n/a
134	533	n/a
135	534	n/a
136	535	n/a
137	536	n/a
138	537	n/a
139	538	n/a
140	539	n/a
141	540	n/a
142	541	n/a
143	542	20mM
144	543	20mM
145	544	5mM
146	545	1.0mM/0.5mM
147	546	1%
148	547	1%
149	548	1%
150	549	n/a
151	550	n/a
152	551	n/a
153	552	1%
154	553	1%
155	554	n/a
156	555	n/a
157	556	n/a
158	557	n/a
159	558	n/a
160	559	n/a
161	560	n/a
162	561	n/a
163	562	n/a
164	563	n/a
165	564	0.5mM/5mM
167	566	0.5mM/5mM
168	567	0.5mM/5mM
169	568	0.5mM/5mM
170	569	0.5mM/5mM
171	570	1mM
172	571	1mM
173	572	1mM
174	573	1mM
175	574	n/a
176	575	n/a
177	576	1mM
178	577	1mM
179	578	1mM
180	579	1mM
181	580	1mM
182	581	n/a
183	582	1mM
184	583	1mM
185	584	1mM
186	585	1mM
187	586	1mM
188	587	n/a
189	588	1mM
190	589	5mM
191	590	n/a
192	591	1mM/0.1mM
193	592	1mM/0.1mM
194	593	1mM/0.1mM
195	594	1mM/0.1mM
196	595	n/a
197	596	1mM/0.1mM
198	597	1mM/0.1mM
199	598	n/a
200	599	n/a
201	600	n/a
202	601	1mM
203	602	1mM
204	603	n/a
205	604	n/a
206	605	0.5
207	606	10mM
208	607	10mM
209	608	10mM
210	609	10mM
211	610	5mM
212	611	n/a
213	612	n/a
214	613	n/a
215	614	n/a
216	615	n/a
217	616	n/a
218	617	0.5mM
219	618	0.5mM
220	619	0.5mM
221	620	n/a
222	621	1 mM
223	622	1 mM
224	623	1 mM
225	624	1 mM
226	625	0.3 mM
227	626	10mM
228	627	0.05/0.2/5-10mM
229	628	8 mM/ 4 mM respectively
230	629	8 mM/ 4 mM respectively
231	630	8 mM/ 4 mM respectively
232	631	8mM
233	632	4 mM/ 2 mM respectively
234	633	4 mM/ 2 mM respectively
235	634	4 mM/ 2 mM respectively
236	635	4 mM/ 2 mM respectively
237	636	4 mM/ 2 mM respectively
238	637	4 mM/ 2 mM respectively
239	638	4 mM/ 2 mM respectively
240	639	4 mM/ 2 mM respectively
241	640	4 mM/ 2 mM respectively
242	641	4 mM/ 2 mM respectively
243	642	4 mM/ 2 mM respectively
244	643	4 mM/ 2 mM respectively
245	644	4 mM/ 2 mM respectively
246	645	4 mM/ 2 mM respectively
247	646	4 mM/ 2 mM respectively
248	647	4 mM/ 2 mM respectively
249	648	4 mM/ 2 mM respectively
250	649	4 mM/ 2 mM respectively
251	650	4 mM/ 2 mM respectively
252	651	4 mM/ 2 mM respectively
253	652	4 mM/ 2 mM respectively
254	653	4 mM/ 2 mM respectively
255	654	4 mM/ 2 mM respectively
256	655	4 mM/ 2 mM respectively
257	656	4 mM/ 2 mM respectively
258	657	4 mM/ 2 mM respectively
259	658	4 mM/ 2 mM respectively
260	659	4 mM/ 2 mM respectively
261	660	4 mM/ 2 mM respectively
262	661	4 mM/ 2 mM respectively
263	662	8mM
264	663	1mM
265	664	6.3 mM/ 3.7 mM respectively
266	665	0.3mM
267	666	8mM
268	667	0.3mM
269	668	0.3mM
270	669	n/a
271	670	8mM
272	671	n/a
273	672	n/a
274	673	n/a
275	674	2mM, 0.5mM
276	675	2mM/0.2mM
277	676	n/a
278	677	2.5mM
279	678	10mM
280	679	n/a
281	680	n/a
282	681	n/a
283	682	n/a
284	683	n/a
285	684	1.25mM/0.25mM
286	685	n/a
287	686	n/a
288	687	10mM
289	688	10mM
290	689	100microM
291	690	1mM
292	691	1mM
293	692	1mM
294	693	1mM/0.2mM
295	694	1mM/0.2mM
296	695	1mM/0.2mM
297	696	2mM
298	697	2mM
299	698	2mM
300	699	2mM
301	700	n/a
302	701	n/a
303	702	n/a
304	703	1mM
305	704	10mM/1mM/1mM
306	705	1mM
307	706	1mM
308	707	1mM
309	708	1mM
310	709	n/a
311	710	n/a
312	711	n/a
313	712	n/a
314	713	n/a
315	714	n/a
316	715	n/a
317	716	n/a
318	717	n/a
319	718	n/a
320	719	n/a
321	720	n/a
322	721	n/a
323	722	3mM/0.3mM
324	723	3mM/0.3mM
325	724	5mM
326	725	1mM
327	726	0.2M
328	727	0.2M
329	728	0.2M
330	729	0.2M
331	730	0.2M
332	731	0.2M
333	732	0.2M
334	733	0.5/1mM
335	734	0.5/1mM
336	735	0.5/1mM
337	736	0.5/1mM
338	737	0.5/1mM
339	738	1mM
340	739	0.5/1mM
341	740	n/a
343	742	n/a
346	745	4mM/0.4mM
347	746	2.2/1.1mM
348	747	2.2/1.1mM
349	748	n/a
350	749	n/a
352	751	n/a
353	752	n/a
354	753	n/a
355	754	n/a
356	755	1mM/1mM
357	756	3mM/0.3mM
358	757	n/a
359	758	4mM
360	759	4mM
361	760	4mM
362	761	4mM
363	762	4mM
364	763	n/a
365	764	3mM
366	765	3mM
367	766	2mM/0.2mM
368	767	2.5mM/0.25mM
369	768	3mM
370	769	1mM/1mM
371	770	1mM/1mM
372	771	1mM/1mM
373	772	1mM/1mM
374	773	1mM/1mM
375	774	1mM/1mM
376	775	n/a
377	776	n/a
378	777	5mM
379	778	5mM
380	779	10mM
381	780	1-2mM
382	781	10mM
383	782	5mM
384	783	10mM/1mM
385	742	n/a
386	742	n/a
387	742	n/a
388	742	n/a
389	742	n/a
390	742	n/a
391	742	n/a
392	742	n/a
393	742	n/a
394	742	n/a
395	742	n/a
396	742	n/a
397	754	n/a
398	754	n/a
399	754	n/a
400	754	n/a
401	754	n/a
402	754	n/a
403	754	n/a
404	754	n/a
405	754	n/a
406	754	n/a
407	754	n/a
408	754	n/a
409	754	n/a
410	754	n/a
411	754	n/a
412	754	n/a
413	754	n/a
414	754	n/a
415	754	n/a
416	777	5mM
417	778	5mM
418	779	10mM
419	780	1-2mM
420	781	10mM
421	782	5mM
422	783	10mM/1mM
423	776	n/a
424	775	n/a
425	772	1mM/1mM
426	773	1mM/1mM
427	774	1mM/1mM
428	768	3mM
429	767	2.5mM/0.25mM
430	766	2mM/0.2mM
431	764	3mM
432	763	n/a
433	759	4mM
434	761	4mM
435	762	4mM
436	756	3mM/0.3mM
437	755	1mM/1mM
438	748	n/a
439	749	n/a
440	748	n/a
441	749	n/a
442	754	n/a
443	726	0.2M
444	727	0.2M
445	729	0.2M
446	730	0.2M
447	731	0.2M
448	732	0.2M
449	693	1mM/0.2mM
450	784	n/a
451	785	10mM
452	786	0.1mM
453	785	10mM
454	784	n/a
455	787	0.1mM
456	786	0.1mM
457	785	10mM
458	784	n/a
459	114	n/a
460	114	n/a
461	114	5mM
462	205	1mM
463	206	1mM
464	202	n/a
465	155	n/a
466	202	n/a
467	198	n/a
468	199	n/a
469	197	1mM
470	196	n/a
471	197	1mM
472	193	n/a
473	193	n/a
474	192	2mM/0.2mM
475	190	n/a
476	173	8mM
477	174	8mM
478	190	n/a
479	192	2mM/0.2mM
480	174	8mM
481	173	8mM
482	163	1mM
483	164	1mM
484	165	1mM
485	229	n/a
486	154	2mM/0.2mM
487	788	2mM/0.2mM
488	154	2mM/0.2mM
489	154	2mM/0.2mM
490	788	2mM/0.2mM
491	228	0.5mM/0.5mM
492	230	5mM
493	231	n/a
494	232	n/a
495	232	2mM
496	234	n/a
497	218	3mM/0.3mM
498	182	n/a
499	221	0.3mM
500	172	10mM
501	158	1mM/0.2mM
502	185	n/a
503	184	n/a
504	168	n/a
505	159	n/a
506	222	8mM
507	789	8mM
508	790	8mM
509	222	8mM
510	186	n/a
511	791	n/a
512	186	n/a
513	171	n/a
514	186	n/a
515	791	n/a
516	169	1.3mM/1mM/1mM
517	161	n/a
518	169	1.3mM/1mM/1mM
519	188	n/a
520	792	n/a
521	175	n/a
522	223	1mM/0.4mM
523	793	1mM/0.4mM
524	223	1mM/0.4mM
525	156	3mM/0.3mM
526	189	n/a
527	233	n/a
528	219	5mM/0.5mM
529	210	1mM/0.1mM
530	209	3.75mM
531	225	0.1-0.7mM/0.1-1mM
534	224	n/a
535	211	1mM/0.4mM
536	212	1mM/0.4mM
537	794	1mM/0.4mM
538	211	1mM/0.4mM
539	212	1mM/0.4mM
540	213	n/a
541	207	5mM/0.5mM
542	208	5mM/0.5mM
543	203	1mM/2mM
544	204	1mM/0.5mM
545	201	0.4mM
546	201	0.4mM
547	200	n/a
548	176	n/a
549	191	0.01%
550	194	5mM
551	195	n/a
552	85	n/a
553	49	5mM/0.5mM
554	364	8mM/1mM
555	15	10mM
556	352	n/a
557	238	1mM
558	237	0.1mM
559	236	0.1mM
561	287	n/a
562	240	1mM
563	292	n/a
564	298	1mM
565	296	n/a
566	295	n/a
567	294	1mM/0.1mM
568	301	n/a
569	309	5mM/0.5mM
570	303	n/a
571	304	2mM
572	306	0.1mM
573	307	0.1mM
574	220	1mM/5mM
575	215	1mM/0.25mM
576	217	n/a
577	217	n/a
578	390	n/a
579	390	n/a
580	390	n/a
581	390	1mM/0.1mM
582	390	n/a
583	300	n/a
584	299	6mM
585	300	6mM
586	318	10mM
587	317	0.2mM
588	317	0.2mM
589	315	n/a
590	314	n/a
591	313	n/a
592	312	0.1mM
593	310	n/a
594	308	6.4mM/3.6mM
595	308	6.4mM/3.6mM
596	302	n/a
597	725	1mM
598	502	0.2
599	795	6.4mM/3.6mM
604	324	n/a
605	323	1mM
606	336	0.05%
607	329	1mM
608	335	1mM
609	331	5mM
610	340	n/a
611	341	n/a
612	342	1mM
613	338	n/a
614	338	n/a
615	339	n/a
616	337	10mM
617	343	6.3/3.7mM
618	344	n/a
619	346	3mM/0.3mM/1mM
620	348	n/a
621	347	n/a
622	369	n/a
623	351	n/a
624	372	1mM
625	353	3mM
626	354	1mM/0.5mM
627	365	1mM
628	367	2.5mM/0.25mM
629	373	1mM
630	371	n/a
631	370	various concentrations
632	368	0.6mM/0.12mM
633	376	n/a
634	386	1mM
635	381	n/a
636	375	5mM
637	375	5mM
638	392	various concentrations
639	392	various concentrations
640	392	various concentrations
641	385	n/a
642	384	n/a
643	380	n/a
644	387	2mM
645	383	not stated
646	382	n/a
647	397	n/a
648	399	n/a
649	394	0.4mM/0.04mM
650	393	2mM/0.2mM
651	393	2mM/0.2mM
652	378	10mM
653	733	0.5/1mM
654	214	1mM/0.1mM
655	214	1mM/0.1mM
656	333	1.0mM/0.1mM
657	217	n/a
658	355	10mM/0.25mM
659	293	1mM
660	200	0.5mM
661	216	1microM/0.25microM
662	388	2.5mM
663	374	n/a
664	349	n/a
665	345	n/a
666	334	n/a
667	332	1mM
668	330	n/a
669	215	1mM/0.25mM
670	5	n/a
671	7	n/a
672	8	10mM/1mM
674	801	1mM
676	246	n/a
677	246	n/a
678	246	n/a
679	9	2mM/0.2mM
680	241	n/a
681	241	n/a
682	241	n/a
683	11	n/a
684	12	1mM
685	13	1mM
686	16	2mM
687	17	5mM
688	18	n/a
689	20	n/a
695	745	4mM/0.4mM
696	20	n/a
697	20	5mM
699	20	5mM
700	21	50mM
701	22	5mM
702	22	5mM
703	23	n/a
704	24	1-10mM
705	25	5mM/5mM
709	26	4mM/2mM
710	28	5mM/5mM
711	733	0.5/1mM
712	27	0.5mM
713	366	0.5mM
714	366	0.5mM
715	219	5mM/0.5mM
716	350	n/a
719	808	n/a
720	808	n/a
728	379	n/a
729	374	n/a
730	289	2mM/1mM
731	214	1mM/0.1mM
732	725	1mM
747	30	n/a
748	827	1mM
749	828	2mM/1mM
750	829	2mM/1mM
751	828	2mM/1mM
752	829	2mM/1mM
753	745	4mM/0.4mM
754	746	2.2/1.1mM
755	747	2.2/1.1mM
756	830	n/a
757	831	n/a
758	289	2mM/1mM
759	681	n/a
760	679	n/a
761	680	n/a
762	420	n/a
763	445	n/a
764	442	n/a
765	443	n/a
766	444	n/a
767	829	2mM/1mM
768	289	2mM/1mM
769	679	n/a
770	681	n/a
771	680	n/a
772	420	n/a
773	442	n/a
774	443	n/a
775	444	n/a
776	445	n/a
777	828	2mM/1mM
778	832	n/a
779	833	0.5mM
780	834	0.5mM
781	835	0.5mM
782	836	5mM/0.5mM
783	837	5mM/0.5mM
784	836	5mM/0.5mM
785	752	n/a
786	751	n/a
787	14	n/a
788	142	n/a
789	838	n/a
790	33	1mM/1mM
791	34	0.7mM/0
792	34	0.7mM/01mM
793	35	n/a
794	121	n/a
795	319	n/a
796	320	n/a
797	319	n/a
798	320	5mM/0.5mM
799	321	n/a
800	322	5mM/0.5mM
801	320	n/a
802	38	2.5mM
803	331	5mM
804	839	5mM
805	31	2mM
806	485	3mM
807	488	n/a
808	485	3mM
809	488	n/a
810	752	n/a
811	751	n/a
812	540	n/a
813	36	10mM/2mM
814	39	5mM/0.5mM
815	40	1mM/0.2mM
816	41	0.02M
817	29	n/a
818	840	n/a
819	841	1.5 M
820	842	n/a
821	276	n/a
822	227	n/a
823	276	n/a
824	273	n/a
825	275	n/a
826	271	n/a
827	398	n/a
828	398	n/a
829	843	10 mM GSH, 1 mM GSSG
830	843	10 mM GSH, 1 mM GSSG
831	844	1mM
832	845	1mM
833	846	1mM
834	127	n/a
835	53	n/a
836	847	n/a
837	847	5 mM
838	847	5 mM
839	848	5 mM
840	848	5 mM
841	846	1mM
842	52	n/a
843	849	1 mM
844	849	1 mM
845	849	1 mM
846	850	n/a
847	850	n/a
848	850	n/a
849	42	n/a
850	32	n/a
851	43	n/a
852	44	n/a
853	45	n/a
854	46	n/a
855	47	n/a
856	48	n/a
857	50	n/a
858	51	n/a
859	50	n/a
860	54	n/a
861	55	n/a
862	56	n/a
863	57	n/a
864	60	n/a
865	62	n/a
866	63	n/a
867	64	n/a
868	65	n/a
869	66	n/a
870	67	n/a
871	68	n/a
872	70	n/a
873	72	n/a
874	73	n/a
875	74	n/a
876	75	n/a
877	76	n/a
878	77	n/a
879	78	n/a
880	79	n/a
881	80	n/a
882	81	n/a
883	81	n/a
884	81	n/a
885	82	n/a
886	83	n/a
887	84	n/a
888	86	n/a
889	87	n/a
890	88	n/a
891	90	n/a
892	91	n/a
893	92	n/a
894	93	n/a
895	94	n/a
896	95	n/a
897	96	n/a
898	97	n/a
899	98	n/a
900	99	n/a
901	100	n/a
902	101	n/a
903	102	n/a
904	103	n/a
905	104	n/a
906	105	n/a
907	106	n/a
908	107	n/a
909	108	n/a
910	110	n/a
911	111	n/a
912	112	n/a
913	58	n/a
914	32	n/a
915	113	n/a
916	115	n/a
917	116	n/a
918	117	n/a
919	117	n/a
920	118	n/a
